Date,Year,Quarter,Month,MonthName,MonthYear,Day,Weekday,IsWeekend
2011-03-18,2011,2011Q1,3,March,Mar 2011,18,Friday,False
2011-03-19,2011,2011Q1,3,March,Mar 2011,19,Saturday,True
2011-03-20,2011,2011Q1,3,March,Mar 2011,20,Sunday,True
2011-03-21,2011,2011Q1,3,March,Mar 2011,21,Monday,False
2011-03-22,2011,2011Q1,3,March,Mar 2011,22,Tuesday,False
2011-03-23,2011,2011Q1,3,March,Mar 2011,23,Wednesday,False
2011-03-24,2011,2011Q1,3,March,Mar 2011,24,Thursday,False
2011-03-25,2011,2011Q1,3,March,Mar 2011,25,Friday,False
2011-03-26,2011,2011Q1,3,March,Mar 2011,26,Saturday,True
2011-03-27,2011,2011Q1,3,March,Mar 2011,27,Sunday,True
2011-03-28,2011,2011Q1,3,March,Mar 2011,28,Monday,False
2011-03-29,2011,2011Q1,3,March,Mar 2011,29,Tuesday,False
2011-03-30,2011,2011Q1,3,March,Mar 2011,30,Wednesday,False
2011-03-31,2011,2011Q1,3,March,Mar 2011,31,Thursday,False
2011-04-01,2011,2011Q2,4,April,Apr 2011,1,Friday,False
2011-04-02,2011,2011Q2,4,April,Apr 2011,2,Saturday,True
2011-04-03,2011,2011Q2,4,April,Apr 2011,3,Sunday,True
2011-04-04,2011,2011Q2,4,April,Apr 2011,4,Monday,False
2011-04-05,2011,2011Q2,4,April,Apr 2011,5,Tuesday,False
2011-04-06,2011,2011Q2,4,April,Apr 2011,6,Wednesday,False
2011-04-07,2011,2011Q2,4,April,Apr 2011,7,Thursday,False
2011-04-08,2011,2011Q2,4,April,Apr 2011,8,Friday,False
2011-04-09,2011,2011Q2,4,April,Apr 2011,9,Saturday,True
2011-04-10,2011,2011Q2,4,April,Apr 2011,10,Sunday,True
2011-04-11,2011,2011Q2,4,April,Apr 2011,11,Monday,False
2011-04-12,2011,2011Q2,4,April,Apr 2011,12,Tuesday,False
2011-04-13,2011,2011Q2,4,April,Apr 2011,13,Wednesday,False
2011-04-14,2011,2011Q2,4,April,Apr 2011,14,Thursday,False
2011-04-15,2011,2011Q2,4,April,Apr 2011,15,Friday,False
